source_center,destination_center,volume,unique_trips,median_delay_ratio,breach_rate,median_actual_minutes,median_osrm_minutes,median_distance_km,excess_minutes,median_dwell_proxy,path_cost,x0,y0,x1,y1,is_chronic_delay
IND411014AAA,IND411033AAA,15,15,2.3666666666666667,1.0,71.0,33.0,29.44,1694.0,49.0,0.2581988897471611,-0.4397695732546026,-0.08722808558369027,-0.2247129255595074,-0.11564232576112854,True
IND411033AAA,IND000000ACB,18,18,1.4972426483942631,1.0,1746.5,1190.5,1458.8642,10302.0,190.0,0.23570226039551587,-0.2247129255595074,-0.11564232576112854,0.04410626785380089,0.044224360942262744,True
IND411033AAA,IND400072AAB,8,8,1.7772232304900182,1.0,192.5,115.0,134.33705,697.0,93.5,0.35355339059327373,-0.2247129255595074,-0.11564232576112854,-0.2750750266729604,-0.3585414762504734,True
IND411033AAA,IND403726AAA,20,20,1.8842063907805133,1.0,798.0,415.5,511.51675,7678.0,206.5,0.22360679774997896,-0.2247129255595074,-0.11564232576112854,-0.4289578273808281,-0.1451314033997445,True
IND411033AAA,IND411014AAA,43,43,2.6785714285714284,1.0,75.0,28.0,26.087500000000002,2524.0,76.0,0.15249857033260467,-0.2247129255595074,-0.11564232576112854,-0.4397695732546026,-0.08722808558369027,True
IND411033AAA,IND411036AAA,32,32,1.8914431673052363,1.0,49.0,28.0,25.9418,1340.0,154.0,0.17677669529663687,-0.2247129255595074,-0.11564232576112854,-0.4173837226169533,-0.03212042160387542,True
IND411033AAA,IND421302AAG,107,107,1.7241379310344827,1.0,201.0,116.0,133.5104,11063.0,98.0,0.09667364890456635,-0.2247129255595074,-0.11564232576112854,-0.09652734779696122,-0.25429256805432443,True
IND411033AAA,IND501359AAE,11,11,1.4166666666666667,1.0,791.0,564.0,704.8637,2794.0,231.0,0.30151134457776363,-0.2247129255595074,-0.11564232576112854,-0.10666295673000845,-0.019723457401459518,True
IND411033AAA,IND562132AAA,10,10,1.6822593167701863,1.0,1102.0,648.0,856.31895,4965.0,341.0,0.31622776601683794,-0.2247129255595074,-0.11564232576112854,-0.0394965708592197,-0.06958317239877138,True
IND411036AAA,IND411033AAA,33,33,2.2758620689655173,1.0,66.0,29.0,26.8761,1537.0,138.0,0.17407765595569785,-0.4173837226169533,-0.03212042160387542,-0.2247129255595074,-0.11564232576112854,True
IND421302AAG,IND000000ACB,26,26,1.829527100215266,1.0,1935.5,1042.0,1413.37685,23713.0,220.0,0.19611613513818404,-0.09652734779696122,-0.25429256805432443,0.04410626785380089,0.044224360942262744,True
IND421302AAG,IND000000AFT,54,54,2.451127819548872,1.0,50.0,20.0,22.75725,3113.0,139.0,0.13608276348795434,-0.09652734779696122,-0.25429256805432443,-0.2313823158086919,-0.31132437013230113,True
IND421302AAG,IND110037AAM,19,19,1.90633608815427,1.0,2098.0,1114.0,1474.1167,19128.0,168.0,0.22941573387056174,-0.09652734779696122,-0.25429256805432443,0.1461549749756001,-0.19054999878081674,True
IND421302AAG,IND160002AAC,1,1,1.7876543209876543,1.0,2172.0,1215.0,1656.2988,957.0,387.0,1.0,-0.09652734779696122,-0.25429256805432443,0.17930770530329396,0.06426578435833179,True
IND421302AAG,IND382430AAB,18,18,2.042121549789938,1.0,740.5,372.5,519.75275,6862.0,173.0,0.23570226039551587,-0.09652734779696122,-0.25429256805432443,-0.0164182202548391,-0.021805891852737822,True
IND421302AAG,IND395023AAA,11,11,2.308108108108108,1.0,428.0,185.0,253.5541,2996.0,152.0,0.30151134457776363,-0.09652734779696122,-0.25429256805432443,-0.062195653663667985,-0.1503931292420083,True
IND421302AAG,IND400015AAA,49,49,2.5714285714285716,1.0,78.0,31.0,43.0608,3078.0,91.0,0.14285714285714285,-0.09652734779696122,-0.25429256805432443,-0.20005866856575566,-0.37147116012343695,True
IND421302AAG,IND400015AAB,31,31,2.2758620689655173,1.0,71.0,30.0,43.007,1465.0,210.0,0.1796053020267749,-0.09652734779696122,-0.25429256805432443,-0.2850840845132919,-0.28838369312169887,True
IND421302AAG,IND400072AAB,105,105,2.5789473684210527,1.0,54.0,21.0,27.3465,4103.0,101.0,0.09759000729485333,-0.09652734779696122,-0.25429256805432443,-0.2750750266729604,-0.3585414762504734,True
IND421302AAG,IND400072AAJ,38,38,2.704545454545454,1.0,59.5,22.0,27.4615,1758.0,103.0,0.16222142113076254,-0.09652734779696122,-0.25429256805432443,-0.37638682122503175,-0.403521349277318,True
IND421302AAG,IND400102AAB,33,33,2.4,1.0,65.0,28.0,33.021300000000004,1672.0,222.0,0.17407765595569785,-0.09652734779696122,-0.25429256805432443,-0.11785098736446663,-0.4775182046232553,True
IND421302AAG,IND400102AAC,62,62,2.6566666666666667,0.9838709677419355,77.5,28.0,33.0236,4222.0,120.0,0.1270001270001905,-0.09652734779696122,-0.25429256805432443,-0.06319932756641566,-0.41922512330209616,True
IND421302AAG,IND400701AAB,22,22,2.450657894736842,1.0,52.0,21.0,22.76595,985.0,278.5,0.21320071635561041,-0.09652734779696122,-0.25429256805432443,-0.1668471463841536,-0.42622595049018025,True
IND421302AAG,IND401104AAA,78,78,2.755928853754941,1.0,63.5,25.0,28.986250000000002,4266.0,93.5,0.11322770341445956,-0.09652734779696122,-0.25429256805432443,-0.306909119605879,-0.5135367208650766,True
IND421302AAG,IND401104AAB,10,10,2.2596153846153846,1.0,60.0,25.0,28.80205,304.0,216.0,0.31622776601683794,-0.09652734779696122,-0.25429256805432443,-0.2328894659766596,-0.4182837208860621,True
IND421302AAG,IND411033AAA,72,72,1.8616427432216907,1.0,211.0,114.0,131.65305,7873.0,140.0,0.11785113019775793,-0.09652734779696122,-0.25429256805432443,-0.2247129255595074,-0.11564232576112854,True
IND421302AAG,IND422011AAD,21,21,1.7578947368421052,1.0,168.0,96.0,137.067,1600.0,238.0,0.2182178902359924,-0.09652734779696122,-0.25429256805432443,-0.050641770956057625,-0.4770262659485873,True
IND421302AAG,IND444005AAB,20,20,2.335479797979798,1.0,937.0,395.5,568.5761,10730.0,345.5,0.22360679774997896,-0.09652734779696122,-0.25429256805432443,-0.3904472703758666,-0.27682585392168907,True
