source_center,destination_center,volume,unique_trips,median_delay_ratio,breach_rate,median_actual_minutes,median_osrm_minutes,median_distance_km,excess_minutes,median_dwell_proxy,path_cost,breached_legs,breached_trips,sla_breach_contribution_pct,is_chronic_delay,source_name,destination_name,corridor,corridor_score
IND421302AAG,IND444005AAB,20,20,2.335479797979798,1.0,937.0,395.5,568.5761,10730.0,345.5,0.22360679774997896,20,20,0.40934762273180214,True,Bhiwandi_Mankoli_HB (Maharashtra),Akola_Gaurkshn_I (Maharashtra),IND421302AAG → IND444005AAB,0.28389661697079105
IND501359AAE,IND462022AAA,20,20,1.920331790123457,1.0,1290.5,650.5,938.415,12652.0,198.0,0.22360679774997896,20,20,0.48267158646810443,True,Hyderabad_Shamshbd_H (Telangana),Bhopal_Trnsport_H (Madhya Pradesh),IND501359AAE → IND462022AAA,0.28289942482619784
IND854326AAB,IND000000ACB,18,18,1.6365799900068752,1.0,2032.5,1247.5,1690.9243000000001,14204.0,154.0,0.23570226039551587,18,18,0.541880114937793,True,Purnia_Central_H_2 (Bihar),Gurgaon_Bilaspur_HB (Haryana),IND854326AAB → IND000000ACB,0.2814244849504322
IND000000ACB,IND411033AAA,22,22,1.5551732745096087,1.0,1785.5,1144.0,1409.15625,13907.0,158.0,0.21320071635561041,22,22,0.5305496168994569,True,Gurgaon_Bilaspur_HB (Haryana),Pune_Tathawde_H (Maharashtra),IND000000ACB → IND411033AAA,0.2812652605535351
IND342301AAA,IND342005AAD,14,14,5.697958669354838,1.0,750.0,125.0,166.2538,7899.0,22.0,0.2672612419124244,14,14,0.30134546802968365,True,Phalodi_PalikDPP_D (Rajasthan),Jodhpur_Basni_I (Rajasthan),IND342301AAA → IND342005AAD,0.27942262746947544
IND844505AAB,IND842001AAA,14,14,10.0,1.0,606.5,52.0,73.67435,7879.0,52.0,0.2672612419124244,14,14,0.3005824715287856,True,HazratJandaha_HajiprRD_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),IND844505AAB → IND842001AAA,0.27926541948330974
IND751002AAB,IND712311AAA,25,25,2.096875,1.0,658.0,316.0,434.0732,10371.0,114.0,0.2,25,25,0.39565183554068223,True,Bhubaneshwar_Hub (Orissa),Kolkata_Dankuni_HB (West Bengal),IND751002AAB → IND712311AAA,0.27848517967449815
IND721102AAA,IND712311AAA,13,13,7.9,1.0,711.0,92.0,125.3268,7870.0,58.0,0.2773500981126146,13,13,0.30023912310338147,True,Midnapore_Talkui_D (West Bengal),Kolkata_Dankuni_HB (West Bengal),IND721102AAA → IND712311AAA,0.2778613425562019
IND110044AAB,IND000000ACB,76,76,1.6528688524590165,0.9868421052631579,104.5,62.0,66.65395000000001,3837.0,77.0,0.11470786693528087,75,75,0.1463808786972903,True,Del_Okhla_PC (Delhi),Gurgaon_Bilaspur_HB (Haryana),IND110044AAB → IND000000ACB,0.27658516470725286
IND444005AAB,IND421302AAG,20,20,2.2866076015990173,1.0,905.5,397.0,571.33115,10024.0,83.0,0.22360679774997896,20,20,0.3824138462501011,True,Akola_Gaurkshn_I (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),IND444005AAB → IND421302AAG,0.2764512708891978
IND208012AAA,IND209304AAA,13,13,10.0,1.0,666.0,19.0,22.862299999999998,7679.0,487.0,0.2773500981126146,13,13,0.2929525065198051,True,Kanpur_Central_D_7 (Uttar Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),IND208012AAA → IND209304AAA,0.27636000628831947
IND000000ACB,IND842001AAA,19,19,1.7777777777777777,1.0,1509.0,843.0,1178.6136,12667.0,187.0,0.22941573387056174,19,19,0.483243833843778,True,Gurgaon_Bilaspur_HB (Haryana),Muzaffrpur_Bbganj_I (Bihar),IND000000ACB → IND842001AAA,0.27615388493459603
IND421302AAG,IND000000AFT,54,54,2.451127819548872,1.0,50.0,20.0,22.75725,3113.0,139.0,0.13608276348795434,54,54,0.118760405364781,True,Bhiwandi_Mankoli_HB (Maharashtra),Mumbai_Sanpada_I (Maharashtra),IND421302AAG → IND000000AFT,0.2738436344372361
