source_center,destination_center,route_type,time_bucket,edge_observations,unique_trips,median_delay_ratio,median_actual_minutes,median_osrm_minutes,breach_rate,excess_minutes,fallback_delay_ratio,delay_ratio_weight
IND302014AAB,IND302026AAA,Carting,night,12,12,2.445887445887446,52.5,21.0,1.0,510.0,2.125,2.245332792207792
IND302014AAB,IND303008AAB,Carting,late_evening,5,5,1.3918918918918919,103.0,74.0,0.8,153.0,1.8148148148148149,1.7302302302302304
IND302014AAB,IND303301AAB,Carting,late_evening,10,10,1.1277777777777778,42.0,35.0,0.4,75.0,1.8148148148148149,1.5858024691358026
IND302014AAB,IND303303AAA,Carting,late_evening,3,3,2.484375,159.0,63.0,0.6666666666666666,205.0,1.8148148148148149,1.9021487520128826
IND302014AAB,IND303603AAB,Carting,late_evening,1,1,1.0701754385964912,122.0,114.0,0.0,8.0,1.8148148148148149,1.7793557968996567
IND302014AAB,IND303901AAA,Carting,late_evening,10,10,2.0910256410256407,55.0,26.5,0.9,395.0,1.8148148148148149,1.9068850902184236
IND302014AAB,IND304001AAA,Carting,late_evening,1,1,2.4833333333333334,149.0,60.0,1.0,89.0,1.8148148148148149,1.8466490299823635
IND302020AAA,IND302014AAB,Carting,night,19,19,5.75,68.0,11.0,1.0,829.0,2.125,3.891025641025641
IND302022AAD,IND000000ACB,Carting,late_evening,7,7,1.5242718446601942,314.0,206.0,1.0,779.0,1.8148148148148149,1.7394888595895428
IND302026AAA,IND302014AAB,Carting,morning,3,3,10.0,184.0,18.0,1.0,563.0,2.2,3.217391304347826
IND303002AAA,IND302014AAA,FTL,morning,1,1,1.6666666666666667,60.0,36.0,1.0,24.0,1.8750586854460094,1.8651352559803265
IND303002AAA,IND302014AAA,FTL,night,9,9,2.0588235294117645,70.0,34.0,1.0,337.0,1.8226866738120757,1.8959705255499102
IND303008AAB,IND303338AAB,Carting,night,5,5,1.5862068965517242,44.0,29.0,0.8,68.0,2.125,2.0172413793103448
IND303106AAA,IND302014AAA,FTL,night,2,2,2.3049360689860245,133.5,58.0,1.0,151.0,1.8226866738120757,1.8665275279187983
IND303106AAA,IND303002AAA,FTL,night,9,9,1.5,35.0,19.0,1.0,102.0,1.8226866738120757,1.7225425336635005
IND303108AAB,IND303106AAA,FTL,night,9,9,1.6,48.0,30.0,1.0,204.0,1.8226866738120757,1.7535770164221212
IND303301AAB,IND303303AAA,Carting,late_evening,6,6,1.7321428571428572,35.5,21.5,1.0,99.0,1.8148148148148149,1.7957366707366709
IND303301AAB,IND303303AAA,Carting,night,6,6,1.45,29.5,20.0,1.0,56.0,2.125,1.9692307692307693
IND303303AAA,IND322230AAA,Carting,night,16,16,1.4178082191780823,103.5,73.0,0.875,518.0,2.125,1.8106925418569257
IND303338AAB,IND303603AAB,Carting,night,6,6,0.849546370967742,53.5,64.0,0.0,16.0,2.125,1.8306645471464018
IND303503AAA,IND302014AAB,Carting,morning,10,10,1.780154986522911,97.0,56.0,1.0,442.0,2.2,2.0600516621743035
IND303503AAA,IND302014AAB,Carting,night,1,1,1.671875,107.0,64.0,1.0,43.0,2.125,2.103422619047619
IND303603AAB,IND302014AAB,Carting,night,6,6,2.4439473684210524,184.5,75.5,0.8333333333333334,679.0,2.125,2.1986032388663967
IND303603AAB,IND303338AAB,Carting,night,1,1,0.8771929824561403,50.0,57.0,0.0,0.0,2.125,2.065580618212197
